Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Ommen,OV,Overijssel,Aries,O+,190.5,86.6,"5' 9""",175,male
Venlo,LI,Limburg,Libra,B+,226.8,103.1,"5' 11""",180,male
Dordrecht,ZH,Zuid-Holland,Leo,O+,233.6,106.2,"5' 9""",176,male
Sauwerd,GR,Groningen,Cancer,O+,216.7,98.5,"5' 6""",168,female
Helmond,NB,Noord-Brabant,Pisces,O-,192.5,87.5,"5' 11""",180,male
Anna Paulowna,NH,Noord-Holland,Cancer,A+,141.9,64.5,"5' 5""",164,male
Amsterdam,NH,Noord-Holland,Aries,O+,180.6,82.1,"5' 6""",167,female
Schiedam,ZH,Zuid-Holland,Sagittarius,O-,147,66.8,"5' 8""",173,female
Middelburg,ZE,Zeeland,Capricorn,O+,216,98.2,"5' 5""",166,female
Arnhem,GE,Gelderland,Pisces,B+,196.9,89.5,"5' 2""",157,female
Rotterdam,ZH,Zuid-Holland,Capricorn,B+,247.3,112.4,"6' 2""",187,male
Wierden,OV,Overijssel,Cancer,O+,254.1,115.5,"5' 10""",177,male
Deurne,NB,Noord-Brabant,Virgo,O+,240.2,109.2,"6' 3""",190,male
Groningen,GR,Groningen,Scorpio,O+,212.7,96.7,"5' 5""",164,female
Maastricht,LI,Limburg,Capricorn,B+,137.1,62.3,"6' 0""",182,male
Putten,GE,Gelderland,Capricorn,A+,147.6,67.1,"5' 9""",176,male
Almere,FL,Flevoland,Virgo,O+,157.5,71.6,"6' 0""",182,male
Amsterdam,NH,Noord-Holland,Virgo,O+,109.3,49.7,"5' 6""",167,female
Nijmegen,GE,Gelderland,Taurus,A+,182.2,82.8,"5' 7""",171,female
Abbenes,NH,Noord-Holland,Taurus,O-,121.2,55.1,"5' 0""",152,female
Beek,LI,Limburg,Aquarius,O+,163.9,74.5,"5' 8""",173,male
Uithuizen,GR,Groningen,Sagittarius,B+,114.2,51.9,"5' 7""",171,female
Rotterdam,ZH,Zuid-Holland,Aries,O+,247.1,112.3,"5' 6""",167,male
Almelo,OV,Overijssel,Aries,A+,179.7,81.7,"6' 0""",184,male
Katwijk,ZH,Zuid-Holland,Taurus,A+,138.4,62.9,"5' 7""",171,female
Rotterdam,ZH,Zuid-Holland,Leo,B+,145.4,66.1,"5' 9""",175,male
Tilburg,NB,Noord-Brabant,Leo,B+,199.5,90.7,"5' 8""",172,male
Nieuw-Lekkerland,ZH,Zuid-Holland,Capricorn,A+,155.5,70.7,"6' 0""",184,male
Zwolle,OV,Overijssel,Pisces,O+,135.5,61.6,"5' 2""",157,female
Amsterdam,NH,Noord-Holland,Capricorn,AB+,228.1,103.7,"5' 9""",175,female
Renesse,ZE,Zeeland,Aries,A+,210.1,95.5,"5' 7""",171,female
Kloosterhaar,OV,Overijssel,Sagittarius,O+,229.9,104.5,"5' 5""",166,female
Dreumel,GE,Gelderland,Scorpio,O+,185.2,84.2,"5' 5""",165,female
Utrecht,UT,Utrecht,Gemini,A+,204.6,93,"5' 7""",170,female
Schoonoord,DR,Drenthe,Pisces,O+,134.9,61.3,"5' 9""",174,female
Zwolle,OV,Overijssel,Pisces,AB+,181.5,82.5,"5' 6""",168,female
Santpoort-Noord,NH,Noord-Holland,Pisces,AB+,142.8,64.9,"5' 10""",178,male
Arnhem,GE,Gelderland,Sagittarius,A+,221.5,100.7,"5' 4""",162,female
Zaandam,NH,Noord-Holland,Capricorn,O+,198.9,90.4,"5' 4""",162,female
Arnhem,GE,Gelderland,Sagittarius,AB+,185.2,84.2,"5' 10""",179,male
Hulst,ZE,Zeeland,Scorpio,O+,227.9,103.6,"5' 7""",170,female
Lelystad,FL,Flevoland,Gemini,A+,152.9,69.5,"6' 0""",184,male
Batenburg,GE,Gelderland,Aquarius,O+,113.3,51.5,"5' 6""",167,female
Dordrecht,ZH,Zuid-Holland,Scorpio,O+,186.6,84.8,"5' 5""",165,female
Nuenen,NB,Noord-Brabant,Capricorn,B+,150.5,68.4,"5' 5""",166,female
Maassluis,ZH,Zuid-Holland,Virgo,A+,196.7,89.4,"5' 7""",170,male
Maastricht,LI,Limburg,Pisces,AB+,203.1,92.3,"5' 7""",169,male
Spijkenisse,ZH,Zuid-Holland,Libra,B+,176,80,"5' 5""",165,female
Eibergen,GE,Gelderland,Aquarius,O+,160.4,72.9,"5' 8""",173,female
Voorhout,ZH,Zuid-Holland,Libra,O+,159.5,72.5,"5' 3""",159,female
Amsterdam,NH,Noord-Holland,Scorpio,A+,136.6,62.1,"5' 8""",173,female
Nijmegen,GE,Gelderland,Libra,O+,168.3,76.5,"5' 7""",169,male
Oud-Beijerland,ZH,Zuid-Holland,Capricorn,A+,196.2,89.2,"6' 2""",189,male
Papendrecht,ZH,Zuid-Holland,Scorpio,O+,227.7,103.5,"5' 11""",181,male
Kraggenburg,FL,Flevoland,Scorpio,O+,189.6,86.2,"5' 9""",174,male
Landgraaf,LI,Limburg,Aries,A+,107.4,48.8,"5' 9""",175,female
Maastricht,LI,Limburg,Aries,AB+,226.6,103,"5' 9""",175,male
Heemskerk,NH,Noord-Holland,Virgo,A+,163.2,74.2,"5' 8""",173,male
Westendorp,GE,Gelderland,Pisces,O+,202.6,92.1,"6' 0""",184,male
Groningen,GR,Groningen,Scorpio,O+,161,73.2,"5' 9""",175,male
Den Haag,ZH,Zuid-Holland,Aquarius,O+,137.3,62.4,"5' 4""",162,female
Hilversum,NH,Noord-Holland,Sagittarius,A+,129.6,58.9,"5' 1""",154,female
Dorst,NB,Noord-Brabant,Pisces,A+,120.8,54.9,"5' 3""",160,female
Breugel,NB,Noord-Brabant,Cancer,O+,124.3,56.5,"5' 7""",171,female
Groningen,GR,Groningen,Virgo,A+,147.6,67.1,"5' 6""",168,male
s-Hertogenbosch,NB,Noord-Brabant,Aquarius,A+,174.2,79.2,"5' 6""",167,female
Drunen,NB,Noord-Brabant,Aries,O-,159.9,72.7,"5' 9""",175,male
Houten,UT,Utrecht,Scorpio,A+,175.3,79.7,"5' 8""",172,female
Rotterdam,ZH,Zuid-Holland,Gemini,B+,126.5,57.5,"5' 4""",163,female
Haarlem,NH,Noord-Holland,Capricorn,O+,203.1,92.3,"5' 7""",169,female
Boxtel,NB,Noord-Brabant,Aries,O+,154,70,"5' 8""",173,female
Den Haag,ZH,Zuid-Holland,Sagittarius,A+,182.2,82.8,"5' 6""",168,male
Rotterdam,ZH,Zuid-Holland,Leo,A+,165.4,75.2,"5' 7""",171,male
Hoofddorp,NH,Noord-Holland,Gemini,AB-,249.3,113.3,"5' 7""",169,male
Schiedam,ZH,Zuid-Holland,Leo,A+,152.7,69.4,"5' 8""",173,male
Koekange,DR,Drenthe,Cancer,A+,168.5,76.6,"5' 7""",171,female
Mariënberg,OV,Overijssel,Gemini,A+,212.3,96.5,"5' 6""",168,male
Gorinchem,ZH,Zuid-Holland,Pisces,B+,185.5,84.3,"5' 4""",163,male
IJmuiden,NH,Noord-Holland,Libra,O+,149.8,68.1,"5' 7""",169,female
Biest-Houtakker,NB,Noord-Brabant,Virgo,AB-,187.9,85.4,"5' 2""",158,female
Amsterdam-Zuidoost,NH,Noord-Holland,Taurus,A+,196.5,89.3,"5' 3""",159,female
Almelo,OV,Overijssel,Virgo,O+,176.9,80.4,"5' 2""",158,female
IJlst,FR,Friesland,Scorpio,O-,129.8,59,"5' 7""",169,female
Amsterdam,NH,Noord-Holland,Aries,O+,121,55,"5' 7""",170,male
Bilthoven,UT,Utrecht,Aries,O+,165.2,75.1,"5' 5""",166,female
Bergen op Zoom,NB,Noord-Brabant,Aquarius,O+,199.1,90.5,"6' 3""",190,male
Landsmeer,NH,Noord-Holland,Virgo,B+,212.1,96.4,"5' 7""",169,male
Budel,NB,Noord-Brabant,Gemini,B+,120.6,54.8,"5' 1""",155,female
Weert,LI,Limburg,Scorpio,A+,207.2,94.2,"5' 5""",164,female
Veenendaal,UT,Utrecht,Cancer,O+,117.7,53.5,"5' 3""",159,female
Venray,LI,Limburg,Sagittarius,O+,110,50,"5' 3""",161,female
Rotterdam,ZH,Zuid-Holland,Capricorn,B+,170.3,77.4,"5' 6""",167,female
Menaam,FR,Friesland,Libra,B+,137.3,62.4,"5' 8""",173,male
Doetinchem,GE,Gelderland,Sagittarius,A+,139,63.2,"5' 3""",159,female
Zaandam,NH,Noord-Holland,Gemini,A+,147.2,66.9,"5' 2""",157,female
De Koog,NH,Noord-Holland,Capricorn,O+,191.6,87.1,"6' 1""",185,male
Leusden,UT,Utrecht,Libra,O+,162.1,73.7,"6' 0""",184,male
Maastricht,LI,Limburg,Aries,O+,209,95,"6' 0""",182,male
Rheden,GE,Gelderland,Libra,O+,134.2,61,"5' 7""",171,male
Zeeland,NB,Noord-Brabant,Capricorn,A+,242.9,110.4,"6' 1""",186,male
Langedijke,FR,Friesland,Cancer,O+,189.6,86.2,"6' 2""",189,male
Weert,LI,Limburg,Scorpio,A+,129.6,58.9,"6' 2""",189,male
Sint Annaland,ZE,Zeeland,Aquarius,A+,187.7,85.3,"5' 7""",169,female
Wezep,GE,Gelderland,Cancer,O-,119.2,54.2,"5' 3""",159,female
Breda,NB,Noord-Brabant,Taurus,O+,219.6,99.8,"5' 4""",162,female
Nootdorp,ZH,Zuid-Holland,Leo,A+,163.5,74.3,"5' 9""",174,female
Woudenberg,UT,Utrecht,Aquarius,B+,166.5,75.7,"5' 2""",157,female
Echt,LI,Limburg,Leo,A+,117.9,53.6,"5' 3""",161,female
Uden,NB,Noord-Brabant,Scorpio,O+,134.2,61,"5' 11""",180,male
Capelle aan den IJssel,ZH,Zuid-Holland,Capricorn,B+,125.8,57.2,"5' 5""",164,female
s-Gravendeel,ZH,Zuid-Holland,Sagittarius,O+,222.6,101.2,"6' 2""",188,male
Velddriel,GE,Gelderland,Aquarius,B+,151.8,69,"5' 10""",177,male
Wognum,NH,Noord-Holland,Leo,A+,199.5,90.7,"6' 0""",183,male
Fijnaart,NB,Noord-Brabant,Leo,B+,150,68.2,"5' 7""",170,female
Arnhem,GE,Gelderland,Taurus,O+,115.3,52.4,"5' 3""",159,female
Hoogblokland,ZH,Zuid-Holland,Virgo,O+,199.1,90.5,"5' 3""",160,female
Schettens,FR,Friesland,Aries,O+,142.3,64.7,"5' 5""",164,female
Nieuw-Weerdinge,DR,Drenthe,Gemini,O+,193.4,87.9,"5' 10""",177,male
Haarlem,NH,Noord-Holland,Aquarius,O+,187.7,85.3,"5' 1""",154,female
Middenbeemster,NH,Noord-Holland,Gemini,B+,160.2,72.8,"5' 10""",178,male
Katwijk,ZH,Zuid-Holland,Sagittarius,A+,178.6,81.2,"5' 1""",156,female
Nieuwegein,UT,Utrecht,Scorpio,O+,241.8,109.9,"5' 10""",178,male
Odijk,UT,Utrecht,Pisces,A+,203.1,92.3,"5' 5""",164,female
Vaassen,GE,Gelderland,Capricorn,O+,141,64.1,"5' 8""",173,male
Amsterdam-Zuidoost,NH,Noord-Holland,Capricorn,O+,195.6,88.9,"5' 8""",173,female
Oegstgeest,ZH,Zuid-Holland,Cancer,B+,188.5,85.7,"5' 6""",167,male
Bilthoven,UT,Utrecht,Libra,O+,142.6,64.8,"6' 0""",184,male
Numansdorp,ZH,Zuid-Holland,Scorpio,O+,210.5,95.7,"6' 0""",183,male
Nunspeet,GE,Gelderland,Libra,A+,176.2,80.1,"5' 5""",164,female
Nijmegen,GE,Gelderland,Virgo,O+,229.2,104.2,"5' 1""",156,female
Krimpen aan den IJssel,ZH,Zuid-Holland,Virgo,B+,155.5,70.7,"6' 0""",184,male
Arnhem,GE,Gelderland,Libra,O+,183.7,83.5,"6' 2""",189,male
Hilversum,NH,Noord-Holland,Sagittarius,O-,216.7,98.5,"5' 10""",179,male
Melderslo,LI,Limburg,Libra,O+,188.8,85.8,"6' 1""",185,male
Weert,LI,Limburg,Leo,A+,156.9,71.3,"5' 5""",165,female
Schiedam,ZH,Zuid-Holland,Taurus,B+,139.3,63.3,"5' 6""",167,female
Brouwershaven,ZE,Zeeland,Gemini,O-,177.3,80.6,"5' 7""",170,female
Deventer,OV,Overijssel,Libra,O+,199.5,90.7,"5' 3""",159,female
Veghel,NB,Noord-Brabant,Pisces,B+,185.9,84.5,"5' 2""",158,female
Waalre,NB,Noord-Brabant,Aries,AB+,225.7,102.6,"5' 5""",164,female
Zundert,NB,Noord-Brabant,Virgo,A+,131.3,59.7,"5' 5""",166,male
Kaatsheuvel,NB,Noord-Brabant,Capricorn,O+,126.1,57.3,"5' 3""",159,female
Nijverdal,OV,Overijssel,Taurus,O-,210.8,95.8,"6' 0""",183,male
Steenderen,GE,Gelderland,Virgo,AB+,153.1,69.6,"5' 2""",157,female
Oldenzaal,OV,Overijssel,Gemini,O+,203.9,92.7,"5' 7""",169,female
Maassluis,ZH,Zuid-Holland,Capricorn,B+,173.4,78.8,"5' 1""",155,female
Opperdoes,NH,Noord-Holland,Cancer,AB+,175.8,79.9,"5' 6""",168,female
Dalfsen,OV,Overijssel,Capricorn,B-,99.4,45.2,"5' 2""",158,female
Krommenie,NH,Noord-Holland,Sagittarius,B+,193.2,87.8,"5' 2""",157,female
Zierikzee,ZE,Zeeland,Leo,O+,104.3,47.4,"5' 1""",155,female
Den Helder,NH,Noord-Holland,Libra,B+,167.2,76,"5' 8""",173,male
Gasselternijveen,DR,Drenthe,Aries,B+,210.1,95.5,"5' 6""",167,female
Uffelte,DR,Drenthe,Libra,O+,205.5,93.4,"5' 1""",156,female
Breda,NB,Noord-Brabant,Leo,B+,130.7,59.4,"5' 5""",165,female
Dalen,DR,Drenthe,Cancer,O+,176.4,80.2,"5' 4""",163,female
Breda,NB,Noord-Brabant,Pisces,AB+,133.3,60.6,"5' 5""",164,male
Bilthoven,UT,Utrecht,Leo,O+,125.4,57,"5' 3""",159,female
Wagenberg,NB,Noord-Brabant,Libra,O+,185.9,84.5,"6' 0""",182,male
Wijchen,GE,Gelderland,Aries,A+,119.2,54.2,"5' 1""",155,female
Austerlitz,UT,Utrecht,Virgo,B+,179.7,81.7,"5' 3""",159,female
Zeewolde,FL,Flevoland,Gemini,O-,150,68.2,"6' 0""",183,male
Apeldoorn,GE,Gelderland,Gemini,O+,217.1,98.7,"5' 10""",178,male
Utrecht,UT,Utrecht,Libra,B+,118.8,54,"5' 0""",152,female
IJsselstein,UT,Utrecht,Taurus,B+,120.1,54.6,"5' 3""",159,female
Prinsenbeek,NB,Noord-Brabant,Aquarius,O+,154.7,70.3,"6' 2""",187,male
Maastricht,LI,Limburg,Virgo,O+,113.3,51.5,"5' 7""",171,female
Gouda,ZH,Zuid-Holland,Aries,B+,171.8,78.1,"5' 7""",170,male
Prinsenbeek,NB,Noord-Brabant,Capricorn,B+,189,85.9,"6' 1""",186,male
Eindhoven,NB,Noord-Brabant,Virgo,B+,201.3,91.5,"5' 3""",159,female
Minnertsga,FR,Friesland,Cancer,B-,233.4,106.1,"5' 10""",177,male
Delft,ZH,Zuid-Holland,Aquarius,O+,194,88.2,"5' 6""",167,male
Lelystad,FL,Flevoland,Aquarius,O+,110.7,50.3,"5' 1""",154,female
Kampen,OV,Overijssel,Taurus,O+,202,91.8,"5' 9""",176,male
Balk,FR,Friesland,Leo,AB+,120.1,54.6,"5' 6""",168,female
Amsterdam-Zuidoost,NH,Noord-Holland,Sagittarius,A+,177.8,80.8,"5' 7""",170,male
Almelo,OV,Overijssel,Libra,B+,154.4,70.2,"5' 7""",169,female
Nieuwkuijk,NB,Noord-Brabant,Gemini,O+,232.8,105.8,"5' 7""",171,male
Gennep,LI,Limburg,Scorpio,A+,139,63.2,"5' 9""",175,male
Rijnsburg,ZH,Zuid-Holland,Cancer,B+,226.2,102.8,"5' 7""",170,female
Schaijk,NB,Noord-Brabant,Cancer,O+,137.5,62.5,"5' 2""",158,female
Den Haag,ZH,Zuid-Holland,Aries,O+,185.5,84.3,"5' 3""",159,female
Nieuweroord,DR,Drenthe,Virgo,A-,210.1,95.5,"5' 9""",175,male
Sittard,LI,Limburg,Aries,O+,209.9,95.4,"6' 0""",184,male
Volendam,NH,Noord-Holland,Cancer,A+,166.3,75.6,"5' 6""",168,male
Eibergen,GE,Gelderland,Cancer,B+,166.8,75.8,"5' 3""",160,female
Amsterdam,NH,Noord-Holland,Leo,O+,191.6,87.1,"5' 4""",162,female
Hoogeveen,DR,Drenthe,Virgo,O+,156,70.9,"5' 9""",174,male
Laren,NH,Noord-Holland,Scorpio,A+,156.4,71.1,"5' 6""",167,male
Leusden,UT,Utrecht,Virgo,O+,132.7,60.3,"5' 1""",154,female
Aalsmeer,NH,Noord-Holland,Libra,O+,165.7,75.3,"5' 7""",171,male
Rhenen,UT,Utrecht,Libra,B-,172.9,78.6,"6' 1""",185,male
Purmerend,NH,Noord-Holland,Leo,A+,168.3,76.5,"5' 4""",162,female
Pesse,DR,Drenthe,Cancer,B+,143.9,65.4,"5' 10""",178,male
Oostburg,ZE,Zeeland,Taurus,AB+,145.4,66.1,"5' 5""",165,male
Uithuizen,GR,Groningen,Virgo,A+,159.7,72.6,"5' 9""",175,male
Bodegraven,ZH,Zuid-Holland,Leo,O+,112.9,51.3,"5' 6""",168,female
Joure,FR,Friesland,Taurus,A+,144.5,65.7,"5' 9""",175,female
Utrecht,UT,Utrecht,Cancer,O+,219.3,99.7,"5' 10""",177,male
Hellendoorn,OV,Overijssel,Capricorn,O+,203.9,92.7,"4' 11""",151,female
Maasdijk,ZH,Zuid-Holland,Scorpio,A+,125.2,56.9,"5' 5""",166,female
Arnhem,GE,Gelderland,Gemini,A+,178.6,81.2,"5' 5""",164,male
Amstelveen,NH,Noord-Holland,Capricorn,O+,170.5,77.5,"6' 0""",182,male
Oud-Beijerland,ZH,Zuid-Holland,Capricorn,B+,203.7,92.6,"5' 8""",173,male
Eindhoven,NB,Noord-Brabant,Aries,B+,243.3,110.6,"5' 7""",169,male
Bolsward,FR,Friesland,Capricorn,O+,114.2,51.9,"5' 5""",165,female
Oud-Beijerland,ZH,Zuid-Holland,Virgo,A+,209.2,95.1,"6' 2""",188,male
Aarle-Rixtel,NB,Noord-Brabant,Libra,O+,221.5,100.7,"5' 6""",168,female
Uithuizermeeden,GR,Groningen,Capricorn,A+,156.6,71.2,"5' 9""",176,male
Woudrichem,NB,Noord-Brabant,Cancer,O+,215.2,97.8,"5' 7""",169,female
Amsterdam,NH,Noord-Holland,Taurus,B+,199.5,90.7,"5' 7""",171,male
Elsloo,LI,Limburg,Cancer,O-,250.4,113.8,"6' 2""",188,male
Roermond,LI,Limburg,Aries,B+,211.9,96.3,"5' 7""",171,male
Beekbergen,GE,Gelderland,Capricorn,A+,212.7,96.7,"5' 6""",167,male
Drunen,NB,Noord-Brabant,Pisces,O+,205.5,93.4,"5' 7""",170,female
Weert,LI,Limburg,Gemini,B-,233,105.9,"5' 10""",179,male
Sprundel,NB,Noord-Brabant,Taurus,A-,138.6,63,"5' 0""",152,female
Maastricht,LI,Limburg,Pisces,A+,183.5,83.4,"6' 2""",187,male
Breda,NB,Noord-Brabant,Sagittarius,O+,128.5,58.4,"5' 4""",162,female
Amsterdam,NH,Noord-Holland,Virgo,O+,206.4,93.8,"5' 6""",167,male
Spijkenisse,ZH,Zuid-Holland,Virgo,B+,184.1,83.7,"5' 6""",168,male
Rotterdam,ZH,Zuid-Holland,Libra,O+,150.7,68.5,"5' 7""",170,female
Lelystad,FL,Flevoland,Cancer,O+,165,75,"5' 8""",173,male
Roosendaal,NB,Noord-Brabant,Virgo,A+,225.5,102.5,"5' 7""",169,female
Hengelo,OV,Overijssel,Taurus,B+,190.3,86.5,"5' 4""",163,female
Venlo,LI,Limburg,Scorpio,O+,150,68.2,"5' 4""",162,female
Wageningen,GE,Gelderland,Gemini,O+,130.2,59.2,"5' 1""",155,female
Hollum,FR,Friesland,Scorpio,B+,150.9,68.6,"5' 1""",155,female
Amsterdam,NH,Noord-Holland,Capricorn,O+,202.8,92.2,"5' 11""",180,male
Alphen aan den Rijn,ZH,Zuid-Holland,Libra,AB-,191,86.8,"6' 0""",183,male
Posterholt,LI,Limburg,Gemini,A+,221.1,100.5,"5' 4""",162,male
Noordwijk,ZH,Zuid-Holland,Capricorn,O+,194.5,88.4,"5' 1""",155,female
Zwolle,OV,Overijssel,Libra,O-,197.3,89.7,"4' 11""",151,female
Bovensmilde,DR,Drenthe,Aquarius,A+,222.9,101.3,"5' 9""",176,male
Britsum,FR,Friesland,Scorpio,A+,176,80,"5' 10""",177,male
Heerenveen,FR,Friesland,Pisces,O+,150.7,68.5,"5' 1""",156,female
Zandvoort,NH,Noord-Holland,Taurus,O+,154.7,70.3,"5' 7""",171,male
Leiden,ZH,Zuid-Holland,Taurus,O+,152.7,69.4,"6' 1""",185,male
Leiden,ZH,Zuid-Holland,Sagittarius,A+,146.5,66.6,"5' 1""",156,female
Apeldoorn,GE,Gelderland,Capricorn,O+,245.7,111.7,"6' 0""",183,male
Rhenen,UT,Utrecht,Pisces,B+,217.6,98.9,"6' 0""",184,male
Spankeren,GE,Gelderland,Taurus,A+,227.3,103.3,"5' 1""",155,female
Venlo,LI,Limburg,Aries,O+,186.1,84.6,"5' 7""",171,female
Leusden,UT,Utrecht,Scorpio,A+,179.3,81.5,"5' 9""",175,female
Den Dolder,UT,Utrecht,Leo,O+,205,93.2,"5' 7""",169,male
Enschede,OV,Overijssel,Aries,O+,135.5,61.6,"5' 8""",172,female
Moerstraten,NB,Noord-Brabant,Libra,O+,191.4,87,"5' 9""",174,female
Bavel,NB,Noord-Brabant,Leo,A+,176,80,"5' 2""",158,female
Noorden,ZH,Zuid-Holland,Aquarius,B+,174.7,79.4,"5' 7""",169,female
Vaassen,GE,Gelderland,Pisces,O+,170.7,77.6,"5' 5""",164,female
Den Helder,NH,Noord-Holland,Capricorn,B+,182.4,82.9,"5' 9""",176,male
Oostkapelle,ZE,Zeeland,Leo,B+,205.3,93.3,"5' 8""",173,male
Buitenpost,FR,Friesland,Pisces,B+,221.8,100.8,"4' 11""",151,female
Renswoude,UT,Utrecht,Sagittarius,O-,196.7,89.4,"5' 10""",179,male
Den Helder,NH,Noord-Holland,Pisces,AB+,145.9,66.3,"5' 9""",174,male
Utrecht,UT,Utrecht,Sagittarius,O+,161.7,73.5,"5' 0""",152,female
Alkmaar,NH,Noord-Holland,Scorpio,O+,159.7,72.6,"5' 6""",168,male
De Wilp,GR,Groningen,Sagittarius,A+,257,116.8,"6' 2""",187,male
Sauwerd,GR,Groningen,Leo,B+,141.7,64.4,"5' 5""",164,female
Almere,FL,Flevoland,Aquarius,B+,178,80.9,"6' 3""",190,male
Apeldoorn,GE,Gelderland,Cancer,B+,224,101.8,"5' 11""",180,male
Oss,NB,Noord-Brabant,Cancer,O+,133.3,60.6,"5' 3""",159,female
Reuver,LI,Limburg,Aries,A+,171.8,78.1,"5' 6""",167,female
Ermelo,GE,Gelderland,Virgo,B+,157.5,71.6,"5' 10""",178,male
Ten Boer,GR,Groningen,Cancer,A+,195.4,88.8,"6' 2""",188,male
Almere,FL,Flevoland,Aquarius,A+,199.8,90.8,"5' 6""",168,male
Doetinchem,GE,Gelderland,Capricorn,B+,150.5,68.4,"5' 11""",181,male
Amersfoort,UT,Utrecht,Pisces,B-,150.5,68.4,"5' 11""",181,male
Amsterdam,NH,Noord-Holland,Aries,O+,200.9,91.3,"5' 3""",159,female
Bodegraven,ZH,Zuid-Holland,Pisces,O+,174.7,79.4,"5' 8""",172,male
Rotterdam,ZH,Zuid-Holland,Gemini,A+,113.7,51.7,"5' 2""",158,female
Eindhoven,NB,Noord-Brabant,Libra,A+,119.5,54.3,"5' 5""",166,female
De Lier,ZH,Zuid-Holland,Gemini,A+,165.9,75.4,"6' 0""",184,male
Sliedrecht,ZH,Zuid-Holland,Gemini,O+,132,60,"6' 3""",190,male
Delfgauw,ZH,Zuid-Holland,Gemini,A+,143.7,65.3,"5' 10""",178,male
Amersfoort,UT,Utrecht,Scorpio,O+,239.8,109,"5' 6""",167,male
Rotterdam,ZH,Zuid-Holland,Sagittarius,O+,205.7,93.5,"5' 9""",176,male
Raamsdonksveer,NB,Noord-Brabant,Gemini,B-,209.4,95.2,"5' 8""",172,male
Venray,LI,Limburg,Libra,O+,203.3,92.4,"6' 0""",184,male
Alblasserdam,ZH,Zuid-Holland,Pisces,A+,145,65.9,"5' 7""",170,female
Halle,GE,Gelderland,Libra,A+,175.1,79.6,"5' 6""",167,male
Klazienaveen,DR,Drenthe,Leo,O+,109.8,49.9,"5' 6""",167,female
Zaandam,NH,Noord-Holland,Aries,A+,114,51.8,"5' 5""",164,female
Rotterdam,ZH,Zuid-Holland,Taurus,B-,232.3,105.6,"5' 9""",176,male
Leiden,ZH,Zuid-Holland,Leo,B+,198,90,"5' 5""",166,male
Arkel,ZH,Zuid-Holland,Scorpio,B+,231,105,"6' 0""",184,male
Gorinchem,ZH,Zuid-Holland,Sagittarius,O+,231.7,105.3,"5' 7""",171,male
Vlissingen,ZE,Zeeland,Aries,A+,223.1,101.4,"5' 10""",178,male
Ridderkerk,ZH,Zuid-Holland,Libra,O-,225.1,102.3,"5' 10""",177,male
Heemskerk,NH,Noord-Holland,Aries,AB+,132.4,60.2,"5' 6""",168,male
Herpen,NB,Noord-Brabant,Cancer,B+,233,105.9,"6' 1""",185,male
Veldhoven,NB,Noord-Brabant,Cancer,O+,240.7,109.4,"5' 8""",173,male
Gronsveld,LI,Limburg,Capricorn,O+,206.8,94,"5' 7""",171,male
Borculo,GE,Gelderland,Gemini,B+,129.4,58.8,"5' 4""",162,female
Vorden,GE,Gelderland,Capricorn,O+,233,105.9,"6' 0""",184,male
Groningen,GR,Groningen,Scorpio,O+,137.5,62.5,"5' 3""",161,female
Heemstede,NH,Noord-Holland,Aries,O+,135.5,61.6,"5' 7""",170,male
Oss,NB,Noord-Brabant,Virgo,O+,226.6,103,"6' 2""",187,male
Delft,ZH,Zuid-Holland,Aries,O+,169.8,77.2,"5' 5""",166,female
Apeldoorn,GE,Gelderland,Libra,B+,117,53.2,"5' 3""",161,female
Veenendaal,UT,Utrecht,Aquarius,A+,148.9,67.7,"5' 8""",173,male
Helmond,NB,Noord-Brabant,Pisces,O-,201.7,91.7,"5' 9""",175,male
Zaandam,NH,Noord-Holland,Gemini,A-,183.9,83.6,"5' 5""",164,female
Nuenen,NB,Noord-Brabant,Libra,A+,176.9,80.4,"5' 5""",164,male
Saasveld,OV,Overijssel,Pisces,A+,160.8,73.1,"5' 11""",181,male
Rhenen,UT,Utrecht,Taurus,O+,119.9,54.5,"5' 5""",165,female
Dalen,DR,Drenthe,Capricorn,O-,165,75,"5' 2""",158,female
Breda,NB,Noord-Brabant,Sagittarius,A+,143.7,65.3,"6' 0""",182,male
Eindhoven,NB,Noord-Brabant,Virgo,O-,183.3,83.3,"5' 8""",173,male
Ridderkerk,ZH,Zuid-Holland,Sagittarius,B+,163.2,74.2,"5' 0""",153,female
Hengelo,OV,Overijssel,Aquarius,O+,170.7,77.6,"5' 4""",162,female
Berkel en Rodenrijs,ZH,Zuid-Holland,Aquarius,O+,145.6,66.2,"5' 11""",180,male
Den Haag,ZH,Zuid-Holland,Aquarius,O+,134.6,61.2,"5' 2""",157,female
Sliedrecht,ZH,Zuid-Holland,Libra,O+,147.6,67.1,"5' 11""",180,male
Losser,OV,Overijssel,Gemini,O+,243.5,110.7,"5' 9""",174,male
Geldrop,NB,Noord-Brabant,Scorpio,B+,134.6,61.2,"5' 1""",155,female
Holten,OV,Overijssel,Scorpio,O-,182.2,82.8,"5' 7""",171,male
Den Haag,ZH,Zuid-Holland,Cancer,O+,144.3,65.6,"5' 10""",178,male
Schijndel,NB,Noord-Brabant,Aries,A+,176.9,80.4,"5' 6""",167,male
Schijndel,NB,Noord-Brabant,Libra,O+,204.4,92.9,"5' 11""",181,male
